TWh/a (MtCO2/a),electricity,coal,coke,solid biomass,methane,hydrogen,low-temperature heat,naphtha,ammonia,process emission,process emission from feedstock,current electricity
AL1 0,1.32,0.05,0.22,0.10,1.11,-0.00,0.11,0.44,0.00,0.11,0.01,1.32
AT1 0,0.94,0.00,0.01,0.33,0.81,0.00,0.15,0.13,0.00,0.00,0.00,1.03
AT1 1,17.39,5.44,8.86,8.69,30.77,0.00,1.83,2.78,0.00,2.32,0.08,16.80
AT1 2,11.57,0.00,0.58,4.96,17.46,0.00,1.43,4.89,0.00,1.39,0.26,9.40
BA1 0,2.66,1.00,2.44,0.59,3.40,-0.00,0.22,1.08,0.00,0.92,0.01,2.67
BE1 0,38.76,4.59,13.97,8.12,104.84,0.00,3.99,45.01,0.00,5.26,2.11,37.94
BG1 0,10.20,0.00,2.63,2.81,13.20,0.00,0.96,6.03,0.00,2.37,0.72,8.95
CH1 0,11.54,0.52,2.86,2.35,13.85,0.08,2.32,14.71,0.00,1.63,0.39,11.49
CZ1 0,24.94,4.27,13.59,5.11,50.10,0.00,7.05,8.01,0.00,3.41,0.38,22.64
DE1 0,14.52,0.15,1.57,2.94,18.38,0.00,3.16,3.46,0.00,1.47,0.19,18.16
DE1 1,25.67,2.68,6.67,3.01,36.44,0.00,4.72,9.37,0.00,2.37,0.57,28.33
DE1 2,70.35,17.12,36.66,5.69,128.35,0.00,15.45,38.04,0.00,6.40,2.47,65.67
DE1 3,19.31,1.67,5.66,4.48,29.90,0.00,4.97,9.23,0.00,3.85,0.57,20.08
DE1 4,20.27,0.09,2.76,3.67,28.61,0.00,4.28,6.58,0.00,2.31,0.38,23.87
DE1 5,23.10,0.05,2.72,3.37,41.59,0.00,7.62,20.20,0.00,2.21,1.34,19.41
DE1 6,29.94,0.42,3.84,4.73,46.41,0.00,9.36,20.90,0.00,2.27,1.37,28.71
DE1 7,16.84,1.04,3.16,2.22,23.03,0.00,2.75,3.62,0.00,1.30,0.19,20.64
DK1 0,6.37,0.00,1.41,1.85,8.50,0.00,0.68,1.82,0.00,1.27,0.00,5.84
DK2 0,2.78,0.00,0.18,0.66,3.81,0.00,0.26,0.44,0.00,0.03,0.00,2.56
EE6 0,2.45,0.00,0.29,0.42,2.05,0.00,0.43,0.75,0.00,0.20,0.00,2.07
ES1 0,31.02,2.66,5.12,3.43,51.03,0.00,0.38,9.97,0.00,4.51,0.50,30.54
ES1 1,15.30,0.18,0.65,3.69,30.99,0.00,0.06,7.28,0.00,2.70,0.30,15.65
ES1 2,29.45,0.67,1.73,9.83,67.14,0.00,0.08,14.41,0.00,6.69,0.58,29.32
ES4 0,0.47,0.00,0.00,0.11,0.70,0.00,0.00,0.14,0.00,0.10,0.00,0.54
FI2 0,41.01,2.70,4.91,46.20,25.71,0.00,14.35,12.95,0.00,2.19,0.69,37.89
FR1 0,16.95,0.04,1.02,2.63,30.13,0.00,3.12,5.66,0.00,2.28,0.27,15.39
FR1 1,35.22,4.70,14.46,3.04,66.07,0.00,3.56,17.82,0.00,5.98,1.04,29.02
FR1 2,39.05,0.75,4.11,5.26,69.33,0.00,6.38,17.18,0.00,4.08,0.95,34.01
FR1 3,19.94,2.85,8.72,3.01,41.92,0.00,2.02,9.60,0.00,3.64,0.55,16.54
FR1 4,12.45,0.00,0.69,1.87,19.03,0.00,2.90,2.16,0.00,2.14,0.05,12.06
GB0 0,35.25,3.17,10.27,6.03,55.24,0.00,3.80,18.22,0.00,3.95,0.31,37.83
GB0 1,38.42,2.55,9.27,4.72,60.47,0.00,3.84,21.97,0.00,5.20,0.57,38.26
GB0 2,16.48,0.80,2.75,1.65,24.17,0.00,2.12,14.08,0.00,0.96,0.49,14.42
GB5 0,1.90,0.00,0.27,0.35,2.80,0.00,0.26,1.38,0.00,0.31,0.03,1.94
GR1 0,12.25,0.00,3.16,1.57,19.42,0.00,0.10,4.26,0.00,2.36,0.06,12.67
HR1 0,3.76,0.00,0.80,0.42,11.27,0.00,0.99,1.33,0.00,2.43,0.00,3.51
HU1 0,17.55,1.28,2.45,2.72,36.49,0.00,3.93,13.25,0.00,1.85,0.54,15.39
IE5 0,11.52,0.00,1.35,2.24,13.35,0.00,0.10,2.42,0.00,2.48,0.00,9.84
IT1 0,19.57,0.11,0.42,0.76,24.20,0.00,3.46,3.46,0.00,4.64,0.04,20.45
IT1 1,24.71,0.45,1.39,0.86,33.13,0.00,4.98,5.22,0.00,5.13,0.14,25.15
IT1 2,26.73,2.36,6.58,0.52,35.82,0.00,4.69,8.31,0.00,4.29,0.43,25.43
IT1 3,39.92,0.86,3.07,2.35,65.99,0.00,12.32,13.75,0.00,6.04,0.63,38.29
IT3 0,3.70,0.00,0.01,0.11,6.18,0.00,0.83,1.84,0.00,0.40,0.11,3.35
LT6 0,3.80,0.00,1.14,1.27,16.54,0.00,2.66,0.30,0.00,1.64,0.00,3.31
LU1 0,2.92,0.00,0.48,0.18,3.01,0.00,0.03,0.19,0.00,0.98,0.00,3.16
LV6 0,2.07,0.00,0.41,4.68,2.48,0.00,1.08,0.42,0.00,0.20,0.00,1.70
ME1 0,0.36,0.02,0.14,0.17,0.45,-0.00,0.05,0.28,0.00,0.16,0.00,0.36
MK1 0,1.37,0.62,1.30,0.04,1.53,-0.00,0.10,0.30,0.00,0.16,0.01,1.37
NL1 0,6.02,0.00,0.12,0.69,23.82,0.00,1.44,3.85,0.00,0.23,0.18,7.79
NL1 1,31.27,5.91,10.97,1.88,161.10,0.00,15.22,59.94,0.00,2.33,3.24,26.46
NO2 0,17.55,2.27,9.09,5.81,26.65,1.91,3.49,28.10,0.00,6.53,0.75,17.47
PL1 0,13.53,0.21,7.23,4.81,24.68,0.00,2.29,3.94,0.00,3.10,0.17,11.53
PL1 1,8.43,0.05,3.42,1.45,18.50,0.00,1.37,2.63,0.00,0.49,0.11,7.05
PL1 2,11.27,0.00,6.58,5.82,20.63,0.00,2.08,4.25,0.00,1.20,0.19,8.98
PL1 3,21.51,5.66,19.01,6.62,38.61,0.00,3.70,2.66,0.00,9.68,0.10,18.86
PL1 4,3.92,0.28,2.47,1.12,8.52,0.00,0.66,1.56,0.00,0.12,0.07,3.07
PT1 0,16.82,0.00,0.21,11.56,26.59,0.00,2.40,1.28,0.00,4.20,0.22,15.48
RO1 0,22.96,1.62,4.57,2.87,33.51,0.00,3.49,14.37,0.00,8.76,0.88,20.53
RS1 0,9.99,1.41,3.83,1.14,11.21,0.44,1.52,9.54,0.00,0.72,0.26,9.97
SE2 0,50.91,2.83,8.60,47.12,27.61,0.00,6.04,14.98,0.00,4.32,1.06,50.28
SI1 0,7.08,0.00,0.51,0.88,6.82,0.00,0.63,0.61,0.00,1.53,0.08,6.20
SK1 0,12.86,3.44,8.19,4.80,26.14,0.00,1.18,5.78,0.00,3.51,0.02,11.61
